股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
002816,和科达,机械设备,专用设备,2025-04-22,2025-05-09,9.91,14.31,0.444,0.362281721123922
603843,正平股份,建筑装饰,基础建设,2025-04-29,2025-05-09,2.4,2.39,-0.0042,-0.0756920584316951
002795,永和智控,机械设备,通用设备,2025-04-29,2025-05-09,5.11,5.2,0.0176,-0.0538920584316951
002713,东易日盛,建筑装饰,装修装饰,2025-04-22,2025-05-09,3.03,3.82,0.2585,0.176781721123922
605069,正和生态,环保,环境治理,2025-04-29,2025-05-09,8.79,9.94,0.1308,0.0593079415683049
603389,亚振家居,轻工制造,家居用品,2025-04-29,2025-05-09,6.12,7.44,0.2157,0.144207941568305
603139,康惠制药,医药生物,中药,2025-04-29,2025-05-09,19.27,19.46,0.0099,-0.0615920584316952
002084,海鸥住工,轻工制造,家居用品,2025-04-22,2025-05-09,3.44,3.4,-0.0116,-0.093318278876078
000004,国华网安,计算机,软件开发,2025-04-22,2025-05-09,9.1,7.73,-0.1505,-0.232218278876078
002719,麦趣尔,食品饮料,休闲食品,2025-04-22,2025-04-29,9.78,7.64,-0.2188,-0.22834390689498
688229,博睿数据,计算机,IT服务,2025-04-22,2025-04-29,47.92,47.22,-0.0146,-0.0241439068949801
002842,翔鹭钨业,有色金属,小金属,2025-04-22,2025-04-29,6.84,6.66,-0.0263,-0.0358439068949801
002910,庄园牧场,食品饮料,饮料乳品,2025-04-08,2025-04-29,8.18,8.46,0.0342,-0.104617042262782
600243,青海华鼎,机械设备,通用设备,2025-04-15,2025-04-29,2.8,2.26,-0.1929,-0.211671284743352
003042,中农联合,基础化工,农化制品,2025-04-15,2025-04-22,14.85,15.63,0.0525,0.043359854845985
600753,庚星股份,交通运输,物流,2025-04-15,2025-04-22,5.89,5.72,-0.0289,-0.038040145154015
600355,精伦电子,通信,通信设备,2025-04-15,2025-04-22,3.22,3.14,-0.0248,-0.033940145154015
002696,百洋股份,农林牧渔,饲料,2025-04-15,2025-04-22,5.4,5.12,-0.0519,-0.061040145154015
002306,中科云网,社会服务,酒店餐饮,2025-03-31,2025-04-22,2.3,1.87,-0.187,-0.19859954221061
603789,星光农机,机械设备,专用设备,2025-03-24,2025-04-22,7.43,6.09,-0.1804,-0.171187907937218
002858,力盛体育,社会服务,体育,2025-04-08,2025-04-22,10.06,11.19,0.1123,-0.0157510282761283
688022,瀚川智能,机械设备,专用设备,2025-04-08,2025-04-15,11.66,12.81,0.0986,-0.0192338644965562
