股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
300736,百邦科技,电子,其他电子,2026-01-15,2026-01-29,16.99,17.48,0.0288,0.00528634926048294
603359,东珠生态,建筑装饰,基础建设,2026-01-22,2026-01-29,7.09,6.72,-0.0522,-0.033763331939766
688216,气派科技,电子,半导体,2026-01-22,2026-01-29,27.96,35,0.2518,0.270236668060234
600831,广电网络,传媒,电视广播,2026-01-22,2026-01-29,4.3,4.33,0.007,0.025436668060234
603356,华菱精工,机械设备,专用设备,2026-01-22,2026-01-29,18.39,17.71,-0.037,-0.018563331939766
600539,狮头股份,商贸零售,互联网电商,2026-01-22,2026-01-29,11.23,10.97,-0.0232,-0.00476333193976597
000695,滨海能源,电力设备,电池,2026-01-22,2026-01-29,12.45,12.48,0.0024,0.020836668060234
300280,紫天科技,传媒,广告营销,2025-03-10,2025-07-14,11.13,3.52,-0.6837,-0.959025153196892
603716,塞力医疗,医药生物,医药商业,2025-04-15,2025-05-09,10.06,10.97,0.0905,-0.00110534096075646
300169,天晟新材,基础化工,化学制品,2025-04-29,2025-05-09,6.7,7.14,0.0657,-0.00579205843169516
002816,和科达,机械设备,专用设备,2025-04-22,2025-05-09,9.91,14.31,0.444,0.362281721123922
603843,正平股份,建筑装饰,基础建设,2025-04-29,2025-05-09,2.4,2.39,-0.0042,-0.0756920584316951
002795,永和智控,机械设备,通用设备,2025-04-29,2025-05-09,5.11,5.2,0.0176,-0.0538920584316951
300460,惠伦晶体,电子,元件,2025-04-29,2025-05-09,8.18,8.91,0.0892,0.0177079415683049
603389,亚振家居,轻工制造,家居用品,2025-04-29,2025-05-09,6.12,7.44,0.2157,0.144207941568305
605069,正和生态,环保,环境治理,2025-04-29,2025-05-09,8.79,9.94,0.1308,0.0593079415683049
002084,海鸥住工,轻工制造,家居用品,2025-04-22,2025-05-09,3.44,3.4,-0.0116,-0.093318278876078
301040,中环海陆,电力设备,风电设备,2025-04-15,2025-04-29,17.68,19.67,0.1126,0.0938287152566484
002910,庄园牧场,食品饮料,饮料乳品,2025-04-15,2025-04-29,9.22,8.46,-0.0824,-0.101171284743352
688229,博睿数据,计算机,IT服务,2025-04-22,2025-04-29,47.92,47.22,-0.0146,-0.0241439068949801
300472,新元科技,机械设备,专用设备,2025-04-22,2025-04-29,4.44,3.12,-0.2973,-0.30684390689498
300849,锦盛新材,美容护理,化妆品,2025-04-22,2025-04-29,13.92,13.59,-0.0237,-0.0332439068949801
002719,麦趣尔,食品饮料,休闲食品,2025-04-22,2025-04-29,9.78,7.64,-0.2188,-0.22834390689498
003042,中农联合,基础化工,农化制品,2025-04-15,2025-04-22,14.85,15.63,0.0525,0.043359854845985
002696,百洋股份,农林牧渔,饲料,2025-04-15,2025-04-22,5.4,5.12,-0.0519,-0.061040145154015
