股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
002495,佳隆股份,食品饮料,调味发酵品,2025-02-10,2025-02-24,2.47,2.4,-0.0282,-0.062931737654724
002529,海源复材,机械设备,专用设备,2025-02-10,2025-02-24,7.15,7.28,0.0182,-0.016531737654724
605069,正和生态,环保,环境治理,2025-02-17,2025-02-24,8.52,8.37,-0.0176,-0.0356365286646473
600243,青海华鼎,机械设备,通用设备,2025-01-24,2025-02-17,2.88,3.24,0.125,0.0307018137896247
002199,东晶电子,电子,元件,2025-01-24,2025-02-17,5.95,7.27,0.2218,0.127501813789625
002211,宏达新材,基础化工,化学制品,2025-01-24,2025-02-10,3.31,3.71,0.1208,0.0441581166277427
603838,四通股份,轻工制造,家居用品,2025-01-24,2025-02-10,5.01,5.48,0.0938,0.0171581166277427
002762,金发拉比,纺织服饰,服装家纺,2025-01-24,2025-02-10,4.84,5.6,0.1578,0.0811581166277427
603389,亚振家居,轻工制造,家居用品,2025-01-24,2025-02-10,4.93,5.48,0.1116,0.0349581166277427
002621,美吉姆,社会服务,教育,2024-04-17,2024-08-06,1.65,0.37,-0.7758,-0.825285682167259
000609,中迪投资,房地产,房地产开发,2024-04-24,2024-06-11,3.65,1.27,-0.6521,-0.610614650528262
603963,大理药业,医药生物,中药,2024-04-24,2024-05-27,7.91,4.28,-0.4589,-0.533580212847717
603388,元成股份,建筑装饰,基础建设,2024-04-10,2024-05-27,5.79,2.38,-0.5889,-0.578217636148302
603955,大千生态,建筑装饰,基础建设,2024-04-24,2024-05-06,11.27,11.21,-0.0053,-0.0933928015157203
002207,准油股份,石油石化,油服工程,2024-04-10,2024-05-06,5.97,5.5,-0.0787,-0.0803648538201494
000638,万方发展,国防军工,军工电子,2024-04-24,2024-05-06,4.3,4.36,0.014,-0.0740928015157203
002591,恒大高新,基础化工,化学制品,2024-04-24,2024-05-06,4.16,4.62,0.1106,0.0225071984842797
000004,国华网安,计算机,软件开发,2024-04-24,2024-05-06,10.67,10.44,-0.0216,-0.10969280151572
300506,名家汇,建筑装饰,装修装饰,2024-04-24,2024-05-06,1.34,1.33,-0.0112,-0.0992928015157203
002141,贤丰控股,电子,其他电子,2024-04-17,2024-04-24,1.32,1.13,-0.1439,-0.176158509155032
000809,铁岭新城,房地产,房地产开发,2024-04-17,2024-04-24,1.49,1.67,0.1208,0.0885414908449684
002211,宏达新材,基础化工,化学制品,2024-03-25,2024-04-24,3.85,2.99,-0.2234,-0.139325481504231
002199,东晶电子,电子,元件,2024-04-17,2024-04-24,5.57,5.69,0.0215,-0.0107585091550316
300965,恒宇信通,国防军工,航空装备,2024-04-17,2024-04-24,28.3,31.38,0.1088,0.0765414908449684
002898,赛隆药业,医药生物,化学制药,2024-04-10,2024-04-24,11.12,9.48,-0.148,-0.0685693231540764
600355,精伦电子,通信,通信设备,2024-04-01,2024-04-24,4.2,3.27,-0.2214,-0.093631653472577
605178,时空科技,建筑装饰,专业工程,2024-04-01,2024-04-17,20.25,13.16,-0.3501,-0.19507405033411
000622,恒立实业,综合,综合,2024-04-10,2024-04-17,3.12,2.71,-0.1314,-0.0232011476675742
000638,万方发展,国防军工,军工电子,2024-04-10,2024-04-17,5.35,4.11,-0.2318,-0.123601147667574
603389,亚振家居,轻工制造,家居用品,2024-04-01,2024-04-17,6.69,4.22,-0.3692,-0.21417405033411
002848,高斯贝尔,家用电器,黑色家电,2024-03-11,2024-04-17,8.48,7.3,-0.1392,-0.0842127282671012
600234,科新发展,建筑装饰,装修装饰,2024-03-25,2024-04-10,6.71,4.92,-0.2668,-0.261755467738231
605069,正和生态,环保,环境治理,2024-04-01,2024-04-10,8.17,7.19,-0.12,-0.0674915484736297
002621,美吉姆,社会服务,教育,2024-04-01,2024-04-10,2.37,1.97,-0.1688,-0.11629154847363
002862,实丰文化,轻工制造,文娱用品,2024-03-25,2024-04-10,10.49,9.37,-0.1067,-0.101655467738231
000004,国华网安,计算机,软件开发,2024-03-25,2024-04-10,14.6,12.56,-0.1397,-0.134655467738231
002058,威尔泰,机械设备,通用设备,2024-03-25,2024-04-01,11.88,12.32,0.037,-0.0130942930214672
603023,威帝股份,汽车,汽车零部件,2024-03-18,2024-04-01,3.57,4.11,0.1513,0.118361751758993
002898,赛隆药业,医药生物,化学制药,2024-03-25,2024-04-01,10.78,11.24,0.0435,-0.00659429302146718
000638,万方发展,国防军工,军工电子,2024-02-02,2024-04-01,4.87,5.71,0.1725,-0.0379455871664255
002591,恒大高新,基础化工,化学制品,2024-02-02,2024-04-01,4.56,5.41,0.1864,-0.0240455871664255
600165,宁科生物,基础化工,化学制品,2024-03-18,2024-03-25,1.56,2.33,0.491,0.507337623101538
603955,大千生态,建筑装饰,基础建设,2024-03-18,2024-03-25,13.98,13.64,-0.0243,-0.00796237689846236
000929,兰州黄河,食品饮料,非白酒,2024-03-18,2024-03-25,8.35,7.65,-0.0838,-0.0674623768984624
603838,四通股份,轻工制造,家居用品,2024-03-18,2024-03-25,5.7,5.45,-0.0439,-0.0275623768984624
605069,正和生态,环保,环境治理,2024-03-18,2024-03-25,7.77,7.13,-0.0824,-0.0660623768984624
605081,太和水,环保,环境治理,2024-03-11,2024-03-25,9.92,11.51,0.1603,0.0952598305623503
600149,廊坊发展,公用事业,电力,2024-03-11,2024-03-18,4.11,4.21,0.0243,-0.0584293942010627
002862,实丰文化,轻工制造,文娱用品,2024-02-26,2024-03-18,8.73,9.51,0.0891,-0.00346990623670447
000004,国华网安,计算机,软件开发,2024-03-04,2024-03-18,13.1,15.62,0.1924,0.075022668437121
002621,美吉姆,社会服务,教育,2024-02-19,2024-03-18,1.55,2.37,0.529,0.206621809543559
002231,奥维通信,国防军工,军工电子,2024-03-04,2024-03-18,4.67,4.98,0.0664,-0.050977331562879
002211,宏达新材,基础化工,化学制品,2024-03-11,2024-03-18,3.24,4.35,0.3426,0.259870605798937
002199,东晶电子,电子,元件,2024-03-04,2024-03-11,6.18,6.23,0.0081,-0.0239005511509944
603388,元成股份,建筑装饰,基础建设,2024-02-19,2024-03-11,4.71,6.75,0.4331,0.211762334708098
000953,河化股份,医药生物,化学制药,2024-03-04,2024-03-11,3.64,3.58,-0.0165,-0.0485005511509944
002058,威尔泰,机械设备,通用设备,2024-03-04,2024-03-11,10.85,10.58,-0.0249,-0.0569005511509944
603963,大理药业,医药生物,中药,2024-02-26,2024-03-04,8.22,7.9,-0.0389,-0.0166985246116671
603023,威帝股份,汽车,汽车零部件,2024-02-26,2024-03-04,3.5,3.33,-0.0486,-0.0263985246116671
600165,宁科生物,基础化工,化学制品,2024-02-19,2024-03-04,1.15,1.46,0.2699,0.0864339021091231
000609,中迪投资,房地产,房地产开发,2024-01-26,2024-03-04,6.19,4.65,-0.2488,-0.0701049729912578
000622,恒立实业,综合,综合,2024-02-26,2024-03-04,3.02,2.81,-0.0695,-0.0472985246116671
600355,精伦电子,通信,通信设备,2024-02-02,2024-02-26,3.24,4.39,0.3549,0.282339797583915
002898,赛隆药业,医药生物,化学制药,2024-02-19,2024-02-26,8.87,10.28,0.1586,-0.0517373732956806
002848,高斯贝尔,家用电器,黑色家电,2024-02-19,2024-02-26,6.8,8.69,0.2779,0.0675626267043194
002199,东晶电子,电子,元件,2024-02-02,2024-02-26,6.16,6.08,-0.013,-0.0855602024160854
688282,理工导航,国防军工,航天装备,2024-02-02,2024-02-19,20.77,19.5,-0.0611,0.0527336912661265
000668,荣丰控股,医药生物,医药商业,2024-02-02,2024-02-19,7.63,6.23,-0.1835,-0.0696663087338735
002862,实丰文化,轻工制造,文娱用品,2024-02-02,2024-02-19,8.24,7.02,-0.1481,-0.0342663087338735
002629,仁智股份,石油石化,油服工程,2024-02-02,2024-02-19,3.1,2.56,-0.1742,-0.0603663087338735
002211,宏达新材,基础化工,化学制品,2024-01-19,2024-02-19,4.37,2.46,-0.4371,-0.123411383595576
000953,河化股份,医药生物,化学制药,2024-01-26,2024-02-02,4.85,3.83,-0.2103,0.00657083784220186
603023,威帝股份,汽车,汽车零部件,2024-01-19,2024-02-02,4,3.26,-0.185,0.0405275597464811
002118,紫鑫药业,医药生物,中药,2023-04-19,2023-08-09,1.79,0.37,-0.7933,-0.926059035838906
002289,宇顺电子,电子,光学光电子,2023-04-26,2023-05-22,7.61,4.52,-0.406,-0.499236498635985
603580,艾艾精工,基础化工,塑料,2023-04-26,2023-05-08,15.61,13.24,-0.1517,-0.197362255527521
002888,惠威科技,电子,消费电子,2023-04-19,2023-05-08,15.25,14.39,-0.0561,-0.0521762070145758
600593,大连圣亚,社会服务,旅游及景区,2023-04-12,2023-05-08,15.47,13.85,-0.1047,-0.0842297747929276
600647,同达创业,综合,综合,2023-04-19,2023-05-08,12.69,12.53,-0.0126,-0.00867620701457578
600543,莫高股份,食品饮料,非白酒,2023-04-19,2023-05-08,4.99,5.28,0.0581,0.0620237929854242
600355,精伦电子,通信,通信设备,2023-02-07,2023-05-08,3.88,3.21,-0.1727,-0.15108123668768
603133,碳元科技,电子,消费电子,2023-04-19,2023-05-08,8.86,8.18,-0.0767,-0.0727762070145758
002816,和科达,机械设备,专用设备,2023-04-26,2023-05-08,10.33,10.21,-0.0116,-0.0572622555275212
002820,桂发祥,食品饮料,休闲食品,2023-02-07,2023-04-26,9.9,8.39,-0.1526,-0.0882570264593712
000622,恒立实业,综合,综合,2023-03-28,2023-04-26,4.8,4.3,-0.1042,-0.0138888906021929
002633,申科股份,机械设备,通用设备,2023-04-12,2023-04-26,11.69,9.7,-0.1702,-0.106955409899317
002289,宇顺电子,电子,光学光电子,2023-04-12,2023-04-19,8.46,8,-0.0544,-0.0377883872487619
002495,佳隆股份,食品饮料,调味发酵品,2023-04-04,2023-04-19,2.63,2.47,-0.0606,-0.0394794166358384
002816,和科达,机械设备,专用设备,2023-04-12,2023-04-19,11.46,11.12,-0.0297,-0.0130883872487619
000929,兰州黄河,食品饮料,非白酒,2023-01-31,2023-04-19,10.48,9.61,-0.083,-0.106961631875652
600234,科新发展,综合,综合,2023-04-04,2023-04-19,7.64,6.08,-0.2042,-0.183079416635838
600647,同达创业,综合,综合,2023-03-14,2023-04-12,13.92,13,-0.0661,-0.0580562326316772
603789,星光农机,机械设备,专用设备,2023-03-21,2023-04-12,9.57,8.82,-0.0784,-0.0487733350565447
002199,东晶电子,电子,元件,2023-03-28,2023-04-12,7.77,7.26,-0.0656,-0.0367060976951997
603580,艾艾精工,基础化工,塑料,2023-03-28,2023-04-12,15.45,14.76,-0.0449,-0.0160060976951997
002289,宇顺电子,电子,光学光电子,2023-03-28,2023-04-04,8.68,8.74,0.0069,0.031320737600217
002633,申科股份,机械设备,通用设备,2023-03-28,2023-04-04,10.83,10.87,0.0037,0.028120737600217
300262,巴安水务,环保,环境治理,2023-03-14,2023-03-28,2.95,2.82,-0.0441,-0.0655705015095289
600898,国美通讯,电子,消费电子,2023-03-21,2023-03-28,5.91,6.14,0.0389,0.0396545649650375
002207,准油股份,石油石化,油服工程,2023-03-07,2023-03-28,7.79,7.21,-0.0745,-0.0930032480193701
002816,和科达,机械设备,专用设备,2023-03-21,2023-03-28,13.7,13.59,-0.008,-0.00724543503496255
600149,廊坊发展,公用事业,电力,2023-03-21,2023-03-28,6.24,6.08,-0.0256,-0.0248454350349626
002629,仁智股份,石油石化,油服工程,2023-03-14,2023-03-21,4.19,4.13,-0.0143,-0.0365418493948775
000622,恒立实业,综合,综合,2023-02-14,2023-03-21,4.94,4.85,-0.0182,-0.02500704709967
002858,力盛体育,社会服务,体育,2023-02-07,2023-03-21,13.77,17.18,0.2476,0.218277136678342
002289,宇顺电子,电子,光学光电子,2023-03-14,2023-03-21,8.71,8.72,0.0011,-0.0211418493948775
